model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__indicators__seed42/artifacts/20260716_223904_376502,753.477052018749,1.0
cnn1d,20,49,0.187369642278078,0.2621259123397172,1328.6088194112488,-8.185188979442529,1682.8160729391386,2666.0941652994115,17.522700015814756,0.1768650189933724,bist100__cnn1d__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__indicators__seed123/artifacts/20260716_225609_582077,753.477052018749,3.5383880081766184
dnfs,20,49,0.0800989490328609,0.0973014025736893,153.32236324391434,-0.2656289113602728,655.2006905555551,804.7036449620572,7.760653165533597,0.9250119558291444,bist100__dnfs__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__indicators__seed123/artifacts/20260717_001240_357217,753.477052018749,1.0679869317931576
linear_regression,20,49,0.285862650964096,0.3512031433750188,1439.271075741427,-15.488645259481189,2280.3062287971657,2937.8520485048134,26.24289990144021,0.000506599167906,bist100__linear_regression__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__indicators__seed123/artifacts/20260716_224022_145560,753.477052018749,3.8990597532248534
lstm_gru,20,49,0.0841978056452071,0.1014456072046387,214.03249257853795,-0.3757346566422828,692.7894929189051,838.3338943868533,8.109403522905003,0.9186131686791384,bist100__lstm_gru__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__indicators__seed123/artifacts/20260716_234004_534562,753.477052018749,1.1126203407797917
mlp,20,49,0.1905359491016906,0.2360756329728097,821.5792620014244,-6.450244260304501,1710.523501844153,2248.017930943416,18.381176863522622,0.4147793643595032,bist100__mlp__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__indicators__seed123/artifacts/20260716_231432_675171,753.477052018749,2.9835254105223608
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__indicators__seed123,bist100,indicators,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__indicators__seed123/artifacts/20260716_223911_879274,753.477052018749,1.0
cnn1d,20,49,0.1992824818128463,0.2447566012783927,686.0728353300663,-7.008238776657981,1745.856478211072,2521.8992615092,18.88571697427789,0.2634952391904525,bist100__cnn1d__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__indicators__seed2026/artifacts/20260716_225759_622158,753.477052018749,3.3470153533573668
dnfs,20,49,0.0802272986035951,0.0971306508386365,149.0063372873653,-0.2611907695585633,647.7184369711846,794.343718411118,7.765418505185359,0.9269303510929304,bist100__dnfs__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__indicators__seed2026/artifacts/20260717_001620_001996,753.477052018749,1.0542374399895487
linear_regression,20,49,0.285862650964096,0.3512031433750188,1439.271075741427,-15.488645259481189,2280.3062287971657,2937.8520485048134,26.24289990144021,0.000506599167906,bist100__linear_regression__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__indicators__seed2026/artifacts/20260716_224031_833374,753.477052018749,3.8990597532248534
