usage_regularization,seed,fold,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
3e-3,7,1,3.841569681901435,3.753300979348007,0.35169394016265865,6,2,0.6472319742716365,0.5
3e-3,7,2,4.243560314280656,4.1957432968197175,0.4349356681108475,6,2,0.6950917276051117,0.95
3e-3,7,3,4.015390449567599,3.813592828056806,0.3711081698536872,5,3,0.6685134265714707,0.55
3e-3,7,4,4.610276727050297,4.308221968549098,0.30393087863922114,7,1,0.734951116506067,0.4
3e-3,42,0,4.821635923774701,4.47073690212674,0.2962474256753921,5,3,0.7565075729323933,0.45
3e-3,42,1,5.595082068267608,5.355877976485265,0.31580217108130454,7,1,0.828053097568525,0.65
3e-3,42,2,2.0892520485614465,2.0837690188697486,0.7010903984308243,3,5,0.35432885015296817,1.0
3e-3,42,3,2.0372343544136564,1.8150822336356875,0.76537551805377,3,5,0.34220398369851324,0.85
3e-3,42,4,1.9956427748846641,1.9713203467938925,0.7413068592548371,3,5,0.3322844992388162,1.0
3e-3,123,0,5.066870441213471,4.954762625550638,0.34280447810888287,6,2,0.7803649799768071,0.95
3e-3,123,1,3.7321931314285233,3.268809201351128,0.5142889684066176,6,2,0.6333412146306461,0.75
3e-3,123,2,4.053530403743869,4.033694242172032,0.437783183157444,6,2,0.6730596547100354,1.0
3e-3,123,3,3.4883288690817977,3.4075090964546026,0.4459545761346817,5,3,0.6008453531487048,0.8
3e-3,123,4,2.2610814890926996,2.2239408986033604,0.7777324736118316,4,4,0.3923376625247874,1.0
3e-3,2026,0,5.561301366053258,5.41187066971283,0.2719620205461979,7,1,0.8251408395600348,0.6
3e-3,2026,1,4.362015373733767,4.170620635323112,0.37927033305168145,6,2,0.7083316182345493,0.65
3e-3,2026,2,2.956585923623927,2.948129142785281,0.4077560380101204,3,5,0.5213107349950448,0.65
3e-3,2026,3,4.370500263484067,3.969779814003261,0.457979242503643,7,1,0.7092661417804956,1.0
3e-3,2026,4,4.475177738057522,4.097275243594342,0.36289290823042386,6,2,0.7206483274010146,0.65
