model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2
cnn_lstm,13,0.0255650591988101,0.0359064777955514,92.4918842988865,-0.6969514593424235,60.01034876064273,83.82779216582139,2.621361135035407,-0.7022487873881245
cnn_lstm,14,0.0213553578403976,0.0255049315699922,105.41066842625769,-0.3041597218540584,50.1812968399041,59.73535594570294,2.163398376916921,-0.2912939497216269
cnn_lstm,15,0.0148001774767991,0.0186306083111069,96.81377771813852,-1.4038295432429275,34.218080035536765,43.179418527109654,1.4628565982315762,-1.39022612992239
cnn_lstm,16,0.0203589933276055,0.0257587511984657,94.5322506305773,-0.6150698591377515,45.524962586507606,57.16232139858382,2.0672564832489577,-0.6207672067156502
cnn_lstm,17,0.048571759168597,0.0534527376562659,107.04113455328256,-5.221545489918089,106.93817828900649,118.07233681578889,4.717392769830955,-5.00861679497339
cnn_lstm,18,0.0210535326904747,0.0290359984822702,113.49401389781588,-0.6055414948011242,47.63805117833745,66.0570166665314,2.0673907586737172,-0.6032899486461962
cnn_lstm,19,0.0587611038590132,0.0724167087261666,109.62736693720548,-2.6603825308665856,143.97854999414906,178.4241231553329,5.622655757368964,-2.5359275488024267
cnn_lstm,20,0.0262111976556595,0.037026073442892,108.03035362719766,-0.397514565813255,69.50573740716516,98.81224404684232,2.565224248544555,-0.4017489249237713
cnn_lstm,21,0.0413169875346852,0.0557110491798994,99.37896747213397,-0.541339555184253,108.758770528808,145.3198890353439,4.288321081008791,-0.5345664095063125
cnn_lstm,22,0.0583605730702935,0.0603029052773814,107.6628146674778,-17.60354738875202,158.47332354677377,163.93277063978107,5.658113283244457,-16.839650076883544
cnn_lstm,23,0.012073212478121,0.0143181604428051,131.20013200077773,-0.2130696581331228,33.319386234750844,39.46400701895868,1.2146308125008018,-0.2070923670351321
cnn_lstm,24,0.0380340693367144,0.0426803318557559,104.34511039580406,-2.9751997513527777,106.09357504361223,119.24481705762608,3.714777460696266,-2.9594113526129284
cnn_lstm,25,0.0304611038456608,0.0340013366734926,121.13923206012132,-4.366003448396348,88.80136885756981,99.30048395733834,2.989107809505842,-4.283513990124549
cnn_lstm,26,0.0377612513334002,0.0433971532057676,85.79344237269689,-1.7901456809427292,109.50183636006766,125.46344804139508,3.871352284338953,-1.7955149434940751
cnn_lstm,27,0.0103410744710392,0.012456755058873,107.1156859327662,-1.0069147472453213,29.375431854253407,35.34222649893667,1.0417990348270192,-1.00548484979817
cnn_lstm,28,0.0309499237397819,0.037197498290838,118.6077988922236,-2.3075468186105095,90.56951901705987,109.0654189152197,3.027390640320118,-2.279517643996997
cnn_lstm,29,0.014379357249123,0.0175034715061276,154.38117220299674,-1.409198706106631,42.851158062777266,52.051727651387594,1.4531406549170522,-1.418404466810546
cnn_lstm,30,0.064378165725446,0.0710785050572082,97.6742507785674,-4.299806661688282,197.9555845041683,219.49690893648577,6.192323449201695,-4.116223961841244
cnn_lstm,31,0.0244101869613783,0.0307788987895738,124.81342568308224,-1.9106538769497223,81.18677559313512,102.60178716993158,2.394598559124899,-1.8834989072048216
cnn_lstm,32,0.0216303932071136,0.0286178260849266,106.26991715154507,-1.2733674946120974,73.18098626551924,96.42284289362024,2.2041016755985052,-1.2916866913666691
cnn_lstm,33,0.0241839743081645,0.0323299861226629,116.71390792940052,-1.3675802556225831,80.20213235912414,107.98243679293068,2.367140377340049,-1.3231953823041112
cnn_lstm,34,0.0192203568134401,0.0232856557410289,93.31466235573218,-0.754771657255175,68.7676924580256,83.56890667477133,1.8968701488810211,-0.7593722700319254
cnn_lstm,35,0.014463315268114,0.0173527351135529,97.06572500464426,-0.2992779297203936,52.316773702777894,62.904946983702274,1.436329415526506,-0.3058404131831946
cnn_lstm,36,0.0144579790669618,0.0173458358639546,98.76452121206198,-0.4781928429928761,52.605568703786865,63.30069917215904,1.4335419311284872,-0.4831538476828201
cnn_lstm,37,0.0036388627356986,0.0036388627356986,87.40678574225717,,13.403039219418131,13.403039219418131,0.3632250097952835,
dnfs,0,0.0159482112012154,0.0179003176603665,111.81737009798668,-0.8990341587002058,34.25833065847955,38.49083860197211,1.5841774799003696,-0.9038595900310868
dnfs,1,0.0464437312553186,0.0505179225520885,101.68821101579834,-5.454256156226773,95.20334396443188,103.1608826692494,4.774690449092351,-5.736492048984408
dnfs,2,0.0202319852138284,0.0259275505399751,107.09401593235204,-0.8340357765820741,38.90898376835544,49.70958895036458,2.0540638555472595,-0.8342222693390053
dnfs,3,0.076257738953489,0.0817861995909456,90.56501373069356,-4.528747217236624,153.88855474529825,165.81978635766603,7.301593361175904,-4.317513574718684
dnfs,4,0.0337945795131353,0.0379731186742021,123.10338073070628,-2.5459723805806695,74.22683893281562,83.62624124889409,3.310762725932491,-2.5230522668964066
dnfs,5,0.0123145725727012,0.0150850339233178,165.43826970168544,-0.6319539530343679,28.54343511791349,35.036991851150965,1.2218065342422872,-0.6327047166713766
dnfs,6,0.024460754073222,0.0282734191045266,117.54549155580972,-1.0473548983633871,55.04226195792064,63.48030079552013,2.4835094158745905,-1.030983370133597
dnfs,7,0.0192301480762142,0.0229221032590953,149.1108923715667,-0.0203036697280285,45.8826685927811,54.92336717270197,1.9061170345259937,-0.0283334058309399
dnfs,8,0.0173000602495025,0.0207376437526425,111.96567359820678,-1.320767730811601,41.3307136991438,49.47914776326741,1.7489703466992783,-1.325229652444953
dnfs,9,0.0163752641233511,0.0186558173713895,112.28938026275104,-1.6326342189895722,40.21082716479052,45.88768649138961,1.62134460195767,-1.6355883173898045
dnfs,10,0.0289366979594961,0.0312792332923489,123.92074961761044,-4.648720055993727,72.59310350570789,78.56535435194654,2.845345894732914,-4.593770360226865
dnfs,11,0.0192640739515594,0.0216762433147195,128.18342038081715,-0.1244237447370517,47.72678016198338,53.752317173136525,1.9266281417682625,-0.1230651442011934
dnfs,12,0.0249263251195947,0.031993814497492,105.68853154980174,-1.5348822799857105,62.679292649602374,80.14390872436164,2.544654335687441,-1.5651426258131127
dnfs,13,0.0258788072440988,0.0357883939694576,105.48024207634592,-0.6858084545509997,60.76574925241853,83.54697420768137,2.652419710579181,-0.690863032278416
dnfs,14,0.0223710306156833,0.0276606756246116,99.20590909435786,-0.5339387737429968,52.608265178556714,64.86876366815325,2.274098317278623,-0.5227669628985128
dnfs,15,0.013628088840452,0.0174781555701956,109.10436866037952,-1.1156352715998934,31.536454137937607,40.55478101246945,1.347959123831191,-1.1084802229825566
dnfs,16,0.0211296284088405,0.0264657904333554,94.88758708913583,-0.7049491950376439,47.27780719402058,58.77963543964464,2.146779227267916,-0.7137785483846202
dnfs,17,0.0459331548103248,0.0512425583588862,99.2036099116398,-4.717681814354027,101.2879764567668,113.36762759215806,4.464800014008595,-4.539318116949502
dnfs,18,0.0193403484277448,0.0262955027082845,115.6749715728442,-0.3167731429911684,43.82615347046492,59.954481358293975,1.9028683366731505,-0.320740389687405
dnfs,19,0.058233068922739,0.0698719224532633,118.05200671401326,-2.4076446011724357,142.76046513258743,172.41081787059676,5.586894710714331,-2.3016059574373373
dnfs,20,0.0264306836679959,0.0373713979945471,109.01719680207871,-0.4237040327336043,70.07514479027274,99.70493881887988,2.586204700329625,-0.4271908401954365
dnfs,21,0.0725870340851776,0.0907427072504384,263.8371645929678,-3.0892071645424446,196.22704466850283,243.958607215912,7.68807456366119,-3.324818269639147
dnfs,22,0.0629596816653449,0.0659883433088999,115.0869184978682,-21.276848074690974,170.44651173574715,178.7180355325582,6.083490599020189,-20.202718018971904
dnfs,23,0.0130880195529589,0.0153641721764712,130.17746517644875,-0.3967851900686132,36.13066452676346,42.35511860317959,1.3170828006540578,-0.3904326225044869
dnfs,24,0.0374969700196772,0.0420247661953458,103.70451152950346,-2.854020259395265,104.63017374096918,117.45788324524185,3.6637340132509792,-2.8416335954718863
dnfs,25,0.0296974014110247,0.0329660269618673,108.41485639162664,-4.044198693907776,86.61562835971752,96.31890252954176,2.916114042262922,-3.9709933547662
dnfs,26,0.0234992111843228,0.0279196621411449,86.38467020486786,-0.154847700620081,67.63358850403145,79.99837361425185,2.387062555417401,-0.1365530087734845
dnfs,27,0.0118626655749076,0.0140727219394097,226.2466872703333,-1.5613875116330993,33.600089620505194,39.87651170431421,1.1815858038355669,-1.553088647481761
dnfs,28,0.0448951930270436,0.0532893112075176,276.55327460332285,-5.788264391009211,130.07912768494435,154.5525095910181,4.350889173330297,-5.585487822783195
dnfs,29,0.0286323669901376,0.0328421496178945,816.9918909635277,-7.481787507314806,86.26234766668021,98.93271346925914,2.9179191395138737,-7.736520099579138
dnfs,30,0.0664107862465602,0.0735749514591625,101.19898047977958,-4.678628073769176,203.95434249676123,226.8828584488668,6.378346386647507,-4.466333196617023
dnfs,31,0.0186532484595973,0.0229547757003024,98.29642974616122,-0.6189391139091036,62.315810218751494,76.97065337794638,1.840810972596815,-0.6227823901859573
dnfs,32,0.0447762215933472,0.0540480850218767,373.4490534551881,-7.108807452370733,154.3302106549116,186.08060787509064,4.62776648877991,-7.534883767877512
dnfs,33,0.0147599498986489,0.0198565959508589,107.85127606252264,0.1068934580202607,49.34515440755992,67.06913622377917,1.459802531027067,0.1037587792193285
dnfs,34,0.0195448285762022,0.0223336337716698,240.759806494384,-0.6142189698513232,69.99015014185599,80.04837189943808,1.9490186115067376,-0.614259341969275
dnfs,35,0.0191435956943894,0.0222265868365761,469.47395897768746,-1.1316295876232605,70.12410723811328,81.55194295099854,1.9392442044041904,-1.1947705727098556
dnfs,36,0.0172707899881763,0.0215844354287786,325.4102437118512,-1.2888746923133714,63.149756953732506,78.80216120156155,1.743927132407867,-1.2985049630269372
dnfs,37,0.0023724498380782,0.0023724498380782,56.9870945245608,,8.743987213344553,8.743987213344553,0.236963780320475,
