model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
lstm,14,1.100094775358836,25,8.026662415999454,0.0242414579552132,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0014.pt
gru,14,1.1008650213479996,17,14.999487082997804,0.0740200410946272,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0014.pt
cnn1d,14,1.0943908542394638,50,8.05719045799924,0.0191134589840658,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0014.pt
dnfs,14,1.097978596885999,10,1.612790999992285,0.0170413349405862,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0014.pt
lstm_gru,14,1.0999775677919388,12,11.871508499985794,0.0895272929919883,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0014.pt
cnn_lstm,14,1.1005097726980846,12,4.85444737499347,0.0256776249152608,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0014.pt
naive_persistence,15,,0,0.0,0.0,
linear_regression,15,,0,0.025987166998675,0.0018577939772512,
mlp,15,1.1097472657759984,11,1.9849179169978015,0.0097912900382652,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0015.pt
rnn,15,1.103702704111735,13,8.086442416999489,0.0497643770650029,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0015.pt
lstm,15,1.1091826657454174,11,3.914450291980757,0.0151382919866591,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0015.pt
gru,15,1.108655611673991,13,14.108108041982632,0.0564647489518392,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0015.pt
cnn1d,15,1.106043919920921,29,4.095565124996938,0.0098238760547246,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0015.pt
dnfs,15,1.107387552658717,14,1.8636898749973625,0.0101420820283237,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0015.pt
lstm_gru,15,1.107689415415128,13,12.405801665998297,0.0646640459890477,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0015.pt
