fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-09-24T00:00:00,1
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-09-25T00:00:00,2
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-09-26T00:00:00,3
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-09-27T00:00:00,4
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-09-30T00:00:00,5
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-01T00:00:00,6
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-02T00:00:00,7
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-03T00:00:00,8
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-04T00:00:00,9
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-07T00:00:00,10
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-08T00:00:00,11
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-09T00:00:00,12
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-10T00:00:00,13
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-11T00:00:00,14
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-14T00:00:00,15
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-15T00:00:00,16
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-16T00:00:00,17
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-17T00:00:00,18
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-18T00:00:00,19
27,2024-09-23T00:00:00,2024-10-21T00:00:00,4597,985,2002-06-10T00:00:00,2020-10-09T00:00:00,2020-10-12T00:00:00,2024-09-23T00:00:00,2024-10-21T00:00:00,20
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-22T00:00:00,1
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-23T00:00:00,2
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-24T00:00:00,3
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-25T00:00:00,4
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-28T00:00:00,5
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-30T00:00:00,6
