market,feature_set,model,fold,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,cnn1d,24,5,5,868.9850342523412,890.9313892150241,111.9562999730156,138.8898755792488,1,774.3612268701171,786.8944000909654,113.77258284887584,140.746625483338,1,0.10068958982290388,0.09945255907879416,137.4393930463914,170.4289627988476,1,0.08793499110929948,0.086453014939713,136.7861560400094,169.21468860548856,1
bist100,close,cnn1d,29,5,5,325.9345291228878,613.1876145736817,217.63277875719982,304.2365343508178,2,317.5205373464321,554.4726234593808,262.1941008636924,365.98057969724925,2,0.03984579792000872,0.06221538318247848,237.3963602975271,327.1330581110685,2,0.037707986674920736,0.057451635985835775,283.7419428993646,391.22730547001794,1
bist100,close,cnn1d,26,5,5,1345.8538775108395,1023.1490571333082,278.78629152641383,253.68356113195358,1,1236.5543525134258,936.7785199977272,293.12429956192636,265.81637655413044,1,0.1786084264852565,0.13737452286780508,340.4323131124332,316.65952626539064,1,0.15989145030591118,0.1224413331217076,350.13225025643555,323.31483559661643,1
bist100,close,dnfs,22,5,5,-106.4455282261863,101.62062830961807,-25.22107923618276,23.682771580799514,5,-91.18800268572963,85.48881903423147,-25.46515583769293,23.46203162937636,4,-0.010370134695519562,0.009846513308296372,-25.507283136187162,23.79184208647975,5,-0.00893353679579894,0.008342893302330174,-25.718905190622614,23.588901827499765,4
bist100,close,dnfs,17,5,5,-97.96415836013054,148.74433019185548,-18.831756403389747,26.97805771780797,4,-77.92673659038094,123.38581016576944,-18.21780647255342,26.775029356080847,4,-0.01215674694412658,0.018330139997150764,-18.3637365841734,26.220375089108497,4,-0.009626608255755158,0.015213939409141935,-17.733041053817608,26.067258922782372,4
bist100,close,dnfs,42,5,5,-63.242018951277274,118.03325183899372,-15.647814678515285,26.10734090180502,4,-69.59389508002357,121.53653045847251,-21.136858702024426,26.273465578924643,5,-0.005884113879899,0.011017986437188307,-16.127392806197186,26.53561727028006,4,-0.006406884150649961,0.011246528241676112,-21.517713213267843,26.693889560220697,5
bist100,close,dnfs,48,5,5,-76.9145501195994,70.21086015496695,-15.478000327078684,13.160055225281008,4,-62.666037070017865,60.7663480240694,-14.539686202758123,13.170812981062749,4,-0.0052369251257125,0.004773670735116549,-15.087301923327416,12.861325844891867,4,-0.00427857441113604,0.004143843830393697,-14.223159044095988,12.896241743942573,4
bist100,close,dnfs,16,5,5,-45.331051476629575,81.84149539388359,-14.479687756420912,31.248528983502176,4,-39.73055243553426,71.1423885478356,-14.443278909871726,32.44504103357244,4,-0.005871233417565319,0.010551523168602205,-14.771441548095728,31.12213437039284,4,-0.0051433460117864,0.009209107649895689,-14.571974337895323,32.57333917754306,4
bist100,close,dnfs,15,5,5,-123.33409249757624,132.10126842708416,-13.801626175740257,13.231753238211384,3,-110.42536582801964,117.1892233912714,-14.024210160201445,13.378171744140525,3,-0.014205272153766624,0.014968532074202507,-13.099897138346677,12.52388299720216,3,-0.012759565293555684,0.013346633275132164,-13.384651246498043,12.738966852654924,3
bist100,close,dnfs,41,5,5,-59.29515171318919,83.2383176096409,-12.810892275135505,25.959459391997246,4,-62.50282363819184,93.30392454715357,-13.735501973652703,32.89197462734278,4,-0.005227834951122741,0.007383175979597866,-12.520661469084212,25.227374641905953,4,-0.005552010283825163,0.008338903221634069,-13.537378194771446,32.253622468372015,4
